RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.02066,1335.0,1428.0,1265.0,0.088,23.1,68.151,0,RGI60-08.02066
RGI60-08.02067,1194.0,1294.0,1047.0,0.387,21.5,68.23,0,RGI60-08.02067
RGI60-08.02068,1447.0,1493.0,1353.0,0.068,21.6,68.25,0,RGI60-08.02068
RGI60-08.02069,1190.0,1610.0,886.0,1.107,22.7,68.245,0,RGI60-08.02069
RGI60-08.02070,1178.0,1498.0,909.0,4.249,7.5,68.224,0,RGI60-08.02070
RGI60-08.02071,1237.0,1387.0,1146.0,0.341,16.1,68.251,0,RGI60-08.02071
RGI60-08.02072,1236.0,1261.0,1206.0,0.05,11.6,68.108,0,RGI60-08.02072
RGI60-08.02073,1236.0,1311.0,1154.0,0.126,26.5,68.155,0,RGI60-08.02073
RGI60-08.02074,1286.0,1388.0,1143.0,0.172,22.3,68.142,0,RGI60-08.02074
RGI60-08.02075,1115.0,1480.0,905.0,1.333,24.1,68.257,0,RGI60-08.02075
RGI60-08.02076,1162.0,1332.0,1055.0,0.139,29.7,68.265,0,RGI60-08.02076
RGI60-08.02077,1222.0,1247.0,1190.0,0.046,12.6,68.076,0,RGI60-08.02077
RGI60-08.02078,987.0,1069.0,895.0,0.101,25.6,68.273,0,RGI60-08.02078
RGI60-08.02079,1135.0,1278.0,1081.0,0.106,15.7,68.269,0,RGI60-08.02079
RGI60-08.02080,1341.0,1383.0,1267.0,0.132,11.3,68.157,0,RGI60-08.02080
RGI60-08.02081,1151.0,1190.0,1091.0,0.026,35.1,68.121,0,RGI60-08.02081
RGI60-08.02082,1244.0,1368.0,1174.0,0.133,18.1,68.126,0,RGI60-08.02082
RGI60-08.02083,1081.0,1121.0,1036.0,0.062,10.4,68.205,0,RGI60-08.02083
RGI60-08.02084,1168.0,1300.0,1067.0,0.092,18.2,68.279,0,RGI60-08.02084
RGI60-08.02085,1416.0,1437.0,1377.0,0.325,3.5,68.154,0,RGI60-08.02085
RGI60-08.02086,1359.0,1426.0,1086.0,0.453,17.6,68.238,0,RGI60-08.02086
RGI60-08.02087,1053.0,1097.0,1017.0,0.076,19.1,68.117,0,RGI60-08.02087
RGI60-08.02088,1280.0,1335.0,1243.0,0.056,18.9,68.152,0,RGI60-08.02088
RGI60-08.02089,1124.0,1197.0,1019.0,0.769,8.0,68.212,0,RGI60-08.02089
RGI60-08.02090,1438.0,1489.0,1352.0,0.122,17.1,68.258,0,RGI60-08.02090
RGI60-08.02091,828.0,965.0,771.0,0.193,15.4,68.251,0,RGI60-08.02091
RGI60-08.02092,1185.0,1240.0,1093.0,0.227,11.6,68.209,0,RGI60-08.02092
RGI60-08.02093,1618.0,1658.0,1528.0,0.104,27.1,68.242,0,RGI60-08.02093
RGI60-08.02094,1207.0,1392.0,1027.0,1.619,11.0,68.161,0,RGI60-08.02094
RGI60-08.02095,1200.0,1254.0,1017.0,1.78,5.0,68.21,0,RGI60-08.02095
RGI60-08.02096,1271.0,1307.0,1234.0,0.103,10.9,68.081,0,RGI60-08.02096
RGI60-08.02097,1370.0,1395.0,1341.0,0.07,10.1,68.151,0,RGI60-08.02097
RGI60-08.02098,1199.0,1251.0,1158.0,0.509,6.1,68.073,0,RGI60-08.02098
RGI60-08.02099,1322.0,1437.0,1017.0,1.251,14.8,68.15,0,RGI60-08.02099
RGI60-08.02100,1103.0,1227.0,1001.0,0.145,24.2,68.248,0,RGI60-08.02100
RGI60-08.02101,1160.0,1284.0,977.0,0.341,20.4,68.17,0,RGI60-08.02101
RGI60-08.02102,1082.0,1199.0,1031.0,0.846,6.6,68.206,0,RGI60-08.02102
RGI60-08.02103,1226.0,1714.0,835.0,11.442,7.2,68.218,0,RGI60-08.02103
RGI60-08.02104,1270.0,1707.0,973.0,3.788,11.0,68.243,0,RGI60-08.02104
RGI60-08.02105,1326.0,1628.0,1033.0,0.444,43.3,68.245,0,RGI60-08.02105
RGI60-08.02106,1147.0,1568.0,939.0,0.143,44.1,68.251,0,RGI60-08.02106
RGI60-08.02107,1070.0,1250.0,870.0,0.602,20.3,68.282,0,RGI60-08.02107
RGI60-08.02108,1143.0,1265.0,1074.0,0.318,13.7,68.055,0,RGI60-08.02108
RGI60-08.02109,1174.0,1334.0,1094.0,0.832,9.6,68.068,0,RGI60-08.02109
RGI60-08.02110,1193.0,1222.0,1113.0,0.059,23.4,68.294,0,RGI60-08.02110
RGI60-08.02111,1247.0,1399.0,1104.0,0.487,19.6,68.296,0,RGI60-08.02111
RGI60-08.02112,1189.0,1457.0,968.0,0.506,25.1,68.342,0,RGI60-08.02112
RGI60-08.02113,1073.0,1340.0,923.0,0.589,18.3,68.337,0,RGI60-08.02113
RGI60-08.02114,1221.0,1307.0,1148.0,0.121,22.6,68.292,0,RGI60-08.02114
RGI60-08.02115,1257.0,1346.0,1183.0,0.138,21.8,68.301,0,RGI60-08.02115
RGI60-08.02116,1168.0,1284.0,1036.0,0.078,33.0,68.332,0,RGI60-08.02116
